episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
283,20.2745,1.1928,2.25,36.50,386,-0.006530
284,17.2265,1.2083,2.27,37.31,349,-0.006535
285,18.4700,1.2980,2.33,38.40,384,-0.006539
286,19.7970,1.2313,2.25,36.52,393,-0.006545
287,17.0828,1.1533,2.25,36.53,354,-0.006546
288,16.7682,1.2232,2.29,37.95,348,-0.006542
289,18.3517,1.1826,2.37,39.17,382,-0.006548
290,17.8432,1.2823,2.41,39.66,346,-0.006555
291,18.7271,1.2889,2.41,40.23,385,-0.006559
292,17.7278,1.2545,2.50,41.63,364,-0.006564
293,17.0673,1.2531,2.37,38.32,366,-0.006563
294,18.4839,1.0878,2.26,37.46,369,-0.006577
295,18.5135,1.2711,2.43,39.87,379,-0.006577
296,18.3606,1.1341,2.23,36.09,365,-0.006575
297,18.5293,1.2682,2.36,39.53,381,-0.006586
298,16.8810,1.2334,2.35,38.60,356,-0.006594
299,17.3965,1.1409,2.29,37.59,368,-0.006606
300,19.8474,1.0722,2.21,35.77,393,-0.006613
301,17.6082,1.2404,2.26,37.02,367,-0.006615
302,19.9718,1.3017,2.49,41.88,376,-0.006620
303,16.4051,1.2033,2.33,38.47,354,-0.006627
304,18.4366,1.2456,2.43,40.28,379,-0.006625
305,18.5801,1.2257,2.39,39.87,379,-0.006629
306,18.2788,1.0802,2.21,36.63,363,-0.006632
307,17.1050,1.0939,2.20,36.78,357,-0.006635
308,16.4463,1.0641,2.22,36.47,360,-0.006629
309,17.5530,1.1970,2.33,38.25,359,-0.006625
310,18.5872,1.2092,2.39,39.61,373,-0.006629
311,19.4906,1.0923,2.18,35.38,369,-0.006630
312,17.4150,1.1173,2.09,33.68,352,-0.006633
313,16.3057,1.1005,2.20,35.93,360,-0.006636
314,17.8011,1.1930,2.41,40.29,383,-0.006632
315,15.8915,1.1468,2.23,36.70,351,-0.006651
316,18.4904,1.1645,2.26,37.10,393,-0.006646
317,16.7019,1.0894,2.18,36.85,361,-0.006645
318,17.8314,1.2033,2.34,38.54,361,-0.006640
319,17.3427,1.1404,2.28,38.38,362,-0.006647
320,18.3127,1.1013,2.31,38.18,365,-0.006659
321,17.9526,1.2515,2.28,37.29,360,-0.006656
322,19.8828,1.1820,2.33,38.16,379,-0.006648
323,17.1482,1.0932,2.26,37.01,381,-0.006664
324,17.3111,1.1328,2.28,37.73,363,-0.006664
325,17.7807,1.1430,2.31,37.98,365,-0.006661
326,17.6141,1.2242,2.26,37.17,362,-0.006667
327,16.4312,1.2120,2.25,37.65,355,-0.006660
