tls_id,timesteps,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,entropy_loss
A0,823296,,,0.034077,-0.000117,-0.007306
A0,827392,,,0.033755,-0.000263,-0.007703
A0,831488,,,0.031566,-0.000151,-0.006173
A0,835584,,,0.026648,-0.0001,-0.006183
A0,839680,,,0.034235,-0.000429,-0.002815
A0,843776,,,0.032542,-0.0,-0.002293
A0,847872,,,0.034003,-0.0,-0.003136
A0,851968,,,0.034162,-0.000156,-0.006304
A0,856064,,,0.033327,0.0,-0.003584
A0,860160,,,0.03083,-0.0003,-0.008231
A0,864256,,,0.036489,-0.000109,-0.005778
A0,868352,,,0.034712,-0.000298,-0.008209
A0,872448,,,0.032696,0.0,-0.002401
A0,876544,,,0.030011,-4.2e-05,-0.005556
A0,880640,,,0.032314,-2.3e-05,-0.004503
A0,884736,,,0.029787,7e-06,-0.008599
A0,888832,,,0.029961,1.3e-05,-0.009085
A0,892928,,,0.035518,-0.000401,-0.014434
A0,897024,,,0.030459,-0.000402,-0.010321
A0,901120,,,0.031406,-0.000292,-0.008653
A0,905216,,,0.033395,-9e-06,-0.006348
A0,909312,,,0.034162,-3.4e-05,-0.006594
A0,913408,,,0.032728,-2.2e-05,-0.003738
A0,917504,,,0.032939,-0.000139,-0.008163
A0,921600,,,0.02948,-0.0,-0.002547
A0,925696,,,0.03306,-0.000253,-0.008574
A0,929792,,,0.034433,-4e-06,-0.004072
A0,933888,,,0.033907,-2e-05,-0.004037
A0,937984,,,0.033092,0.0,-0.001865
A0,942080,,,0.03292,0.0,-0.002043
A0,946176,,,0.03209,-0.0,-0.002258
A0,950272,,,0.033599,-0.000322,-0.002916
A0,954368,,,0.025648,-6.2e-05,-0.004529
A0,958464,,,0.031255,0.0,-0.001431
A0,962560,,,0.035239,-1.5e-05,-0.002734
A0,966656,,,0.033015,-0.0,-0.001824
A0,970752,,,0.031125,-0.0,-0.00194
A0,974848,,,0.028253,0.0,-0.002062
A0,978944,,,0.031315,0.0,-0.002189
A0,983040,,,0.030128,-0.0,-0.002317
A0,987136,,,0.033763,-4e-06,-0.003562
A0,991232,,,0.02942,-1.2e-05,-0.002977
A0,995328,,,0.032666,-5e-06,-0.00375
A0,999424,,,0.032491,0.0,-0.002936
A0,1003520,,,0.0314,-1e-06,-0.007542
A1,4096,,,,,
A1,8192,,,0.051088,-0.048045,-0.675698
A1,12288,,,0.045431,-0.032603,-0.627768
A1,16384,,,0.045592,-0.02892,-0.563301
A1,20480,,,0.037229,-0.026607,-0.495125
A1,24576,,,0.039909,-0.019174,-0.437045
A1,28672,,,0.025756,-0.016506,-0.372093
A1,32768,,,0.022899,-0.012937,-0.322719
A1,36864,,,0.020643,-0.015251,-0.269394
A1,40960,,,0.017327,-0.011517,-0.232022
A1,45056,,,0.014827,-0.009464,-0.192755
A1,49152,,,0.017612,-0.00751,-0.164918
A1,53248,,,0.01393,-0.005519,-0.133892
A1,57344,,,0.01717,-0.005105,-0.111036
A1,61440,,,0.015239,-0.003769,-0.09384
A1,65536,,,0.016084,-0.001812,-0.079815
A1,69632,,,0.020974,-0.001963,-0.067355
A1,73728,,,0.01832,-0.001575,-0.058507
A1,77824,,,0.021118,-0.000765,-0.052221
A1,81920,,,0.022416,-0.001242,-0.041897
A1,86016,,,0.023996,-0.000106,-0.038968
A1,90112,,,0.026662,-0.00061,-0.030937
A1,94208,,,0.026031,-0.00068,-0.023133
A1,98304,,,0.029499,-0.000467,-0.019684
A1,102400,,,0.029885,-0.000552,-0.015666
A1,106496,,,0.030358,-3.2e-05,-0.013394
A1,110592,,,0.029034,-0.000208,-0.013114
A1,114688,,,0.02997,-0.000345,-0.017469
A1,118784,,,0.031464,-0.000228,-0.019668
A1,122880,,,0.031813,-0.00023,-0.009631
A1,126976,,,0.032192,-4.9e-05,-0.010795
A1,131072,,,0.034602,-7.5e-05,-0.008966
A1,135168,,,0.03364,-0.000628,-0.010674
A1,139264,,,0.035419,4.8e-05,-0.009023
A1,143360,,,0.028291,0.000266,-0.033663
A1,147456,,,0.034327,-0.000626,-0.018629
A1,151552,,,0.031352,-0.000408,-0.017193
A1,155648,,,0.033277,-0.000332,-0.019214
A1,159744,,,0.032804,0.00016,-0.113204
A1,163840,,,0.039644,-0.020946,-0.376311
A1,167936,,,0.027441,-0.014042,-0.321024
