#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-622.1,367,5140.605402
-207.9,367,5143.50598
-5251.6,772,5163.330079
-205.9,367,5167.097526
-620.3,367,5171.252203
-205.9,367,5174.989377
-618.1,367,5179.134003
-5253.6,772,5199.052539
-209.9,367,5204.422581
-210.7,367,5208.100582
-622.7,367,5211.583948
-5257.2,772,5231.795711
-624.3,367,5237.597159
-5259.2,772,5257.799788
-5253.6,772,5278.221312
-5257.4,772,5299.458568
-626.3,367,5303.667728
-628.5,367,5307.055393
-626.9,367,5309.733007
-624.7,367,5312.245853
-208.7,367,5315.311169
-622.3,367,5319.253857
-623.7,367,5322.910656
-624.7,367,5325.486834
-625.9,367,5328.252327
-624.5,367,5332.359325
-5258.8,772,5353.057749
-5256.8,772,5374.696649
-5262.6,772,5396.06087
-625.9,367,5398.611822
-212.3,367,5402.184775
-5259.8,772,5421.058639
-207.9,367,5426.274358
-625.1,367,5430.288592
-5262.0,772,5450.361642
-626.3,367,5454.461483
-209.5,367,5457.881087
-622.5,367,5463.646032
-207.3,367,5467.257178
-5253.8,772,5487.724628
-209.3,367,5490.067865
-5248.6,772,5511.126974
-206.7,367,5514.48846
-203.5,367,5518.29205
-615.7,367,5522.312225
-206.5,367,5525.377352
-5254.2,772,5546.482411
-5248.6,772,5565.070476
-617.9,367,5568.926274
-5252.2,772,5589.216252
-5247.2,772,5610.547356
-5254.6,772,5630.311304
-5253.4,772,5650.439756
-5253.4,772,5670.849742
-202.5,367,5674.612058
-203.1,367,5679.698193
-619.3,367,5683.865941
-204.9,367,5687.746015
-619.9,367,5690.495981
-5248.0,772,5711.869106
-617.3,367,5715.989847
-616.3,367,5720.142475
-201.1,367,5723.886386
-201.9,367,5726.470482
-202.7,367,5728.89939
-200.7,367,5732.465577
-199.5,367,5735.0418
-201.9,367,5737.440642
-5242.0,772,5756.951535
-5235.8,772,5778.924359
-5238.6,772,5797.879851
-610.7,367,5800.658307
-5232.4,772,5821.994141
-611.3,367,5826.035876
-5230.2,772,5847.483557
-195.5,367,5851.236665
-5226.2,772,5873.443491
-193.5,367,5877.290527
-196.5,367,5879.86481
-195.9,367,5882.192538
-195.1,367,5885.335624
-5230.0,772,5903.775465
-5231.4,772,5923.158913
-610.7,367,5926.823664
-608.7,367,5930.574267
-611.3,367,5933.52527
-5229.0,772,5953.238651
-194.5,367,5956.906108
-605.5,367,5960.022431
-5231.0,772,5980.67613
-611.1,367,5984.684798
-610.3,367,5988.825327
-5225.2,772,6010.927195
-5217.6,772,6030.06607
-607.9,367,6033.078484
-5219.2,772,6054.810968
-600.9,367,6058.8741
-193.5,367,6062.732045
-5219.6,772,6083.031521
-604.7,367,6086.037508
-195.3,367,6089.12042
-193.5,367,6092.216345
-5224.0,772,6111.316131
-5225.2,772,6133.051316
-609.9,367,6137.220037
-192.5,367,6140.521415
-193.5,367,6143.141165
-5229.0,772,6164.420956
-607.9,367,6168.674829
-193.1,367,6172.478131
-606.3,367,6176.684025
-194.7,367,6180.26096
-5228.6,772,6201.932079
-5221.0,772,6220.727017
-189.5,367,6224.544631
-190.1,367,6228.150082
-606.3,367,6233.680366
-188.5,367,6236.766343
-5220.8,772,6256.917581
-5218.2,772,6277.065825
-184.5,367,6281.923482
-190.7,367,6285.669446
-5214.6,772,6306.343747
-184.5,367,6308.720957
-187.3,367,6313.660812
-597.1,367,6317.643753
-5204.2,772,6335.586944
-183.7,367,6338.019957
-603.1,367,6340.744978
-187.7,367,6343.7121
-5218.2,772,6363.782682
-188.7,367,6367.792339
-189.5,367,6371.428397
-188.9,367,6376.923753
-606.7,367,6379.929773
-609.7,367,6383.868633
-5226.0,772,6403.345118
-192.3,367,6406.145833
-5219.0,772,6427.279784
-5218.8,772,6447.888146
-186.7,367,6451.722983
-5220.6,772,6470.855259
-607.3,367,6475.103152
-189.1,367,6478.889077
-603.3,367,6483.005038
-193.3,367,6488.51877
-189.9,367,6492.241628
-5217.2,772,6512.482427
-193.9,367,6515.630403
-5220.0,772,6537.362091
-5222.0,772,6557.811918
-607.7,367,6560.544604
-5223.8,772,6582.269556
-190.5,367,6586.141896
-5224.4,772,6607.272709
-608.9,367,6610.170322
-607.3,367,6613.223087
-191.1,367,6618.767422
-193.7,367,6622.430826
-192.7,367,6626.242147
-604.5,367,6629.390092
-5220.0,772,6651.217264
-192.1,367,6654.929902
-605.3,367,6658.473363
-5222.4,772,6677.547915
-5221.2,772,6700.065404
-5216.0,772,6718.949656
-5214.0,772,6738.614126
-189.7,367,6741.740709
-605.3,367,6744.313625
-5217.4,772,6762.970199
-191.7,367,6765.459516
-604.9,367,6768.700129
-187.5,367,6771.584562
-187.3,367,6774.368531
-191.5,367,6776.769843
-5215.6,772,6797.155759
-185.7,367,6801.834983
-187.3,367,6804.785977
-184.5,367,6808.57069
-5215.6,772,6828.090809
-5208.6,772,6850.083611
-603.9,367,6853.93189
-184.1,367,6857.864512
-5210.8,772,6879.254222
-5207.4,772,6900.292418
-186.9,367,6902.765946
-5203.8,772,6922.533627
-184.9,367,6927.59988
-601.5,367,6931.755001
-600.3,367,6935.797567
-5205.4,772,6956.543396
-601.3,367,6960.603162
-598.9,367,6966.168244
