#{"t_start": 1777633440.071811, "env_id": "None"}
r,l,t
4.74,367,12452.417793
5.24,367,12456.482999
11.04,768,12481.37304
5.44,367,12486.188685
11.74,768,12509.674765
11.84,768,12534.603175
12.14,768,12557.128274
11.34,768,12578.750172
1.66,367,12582.559294
11.24,768,12605.65426
11.34,768,12627.652011
11.64,768,12651.44325
4.94,367,12654.076547
5.04,367,12658.377183
5.64,367,12661.773947
5.44,367,12666.039644
11.94,768,12688.574518
11.74,768,12710.640129
5.64,367,12713.469764
1.66,367,12716.464874
11.74,768,12740.718092
4.64,367,12744.56569
5.04,367,12748.715435
1.86,367,12752.285181
1.66,367,12755.625243
1.66,367,12759.43783
1.66,367,12763.143335
1.66,367,12766.969738
12.04,768,12789.989868
12.24,768,12813.258578
11.94,768,12836.204771
1.96,367,12839.801651
12.14,768,12863.01282
1.96,367,12866.587875
5.24,367,12870.560295
11.94,768,12894.716718
5.34,367,12898.69778
2.16,367,12902.58427
4.94,367,12906.851871
5.24,367,12911.179834
5.44,367,12915.331339
1.96,367,12919.01858
12.54,768,12939.911542
2.16,367,12943.530451
12.04,768,12968.159733
5.64,367,12970.898328
5.44,367,12975.038826
11.84,768,12997.489243
5.64,367,13001.484965
2.16,367,13005.270254
11.84,768,13028.273393
5.64,367,13031.653493
12.14,768,13056.842491
12.44,768,13080.450277
1.96,367,13083.969282
12.54,768,13105.673771
2.16,367,13108.373087
2.16,367,13111.237025
12.54,768,13134.260081
2.16,367,13137.31623
5.54,367,13143.021433
12.24,768,13166.206902
12.14,768,13188.797568
10.94,768,13212.025922
12.04,768,13234.816642
5.14,367,13237.672534
5.44,367,13240.982175
11.74,768,13266.135982
2.06,367,13269.792354
1.76,367,13273.583505
5.34,367,13277.728224
12.04,768,13300.092524
5.24,367,13303.383617
1.46,367,13305.814887
5.04,367,13309.787633
12.04,768,13335.268736
5.64,367,13338.280842
1.86,367,13341.351112
5.64,367,13345.01203
12.54,768,13367.508539
5.44,367,13371.246321
1.56,367,13374.692871
11.84,768,13395.634588
5.64,367,13399.573051
5.34,367,13404.434736
12.34,768,13427.349955
5.64,367,13431.449713
2.16,367,13435.154199
12.34,768,13457.736573
12.34,768,13480.181918
12.34,768,13501.888688
12.34,768,13525.625962
1.66,367,13529.316207
12.14,768,13550.86803
2.16,367,13554.174301
5.34,367,13557.380845
12.34,768,13580.352774
5.64,367,13584.31507
12.54,768,13608.721824
5.44,367,13612.719807
12.34,768,13635.223825
2.16,367,13638.703821
1.86,367,13642.682187
12.14,768,13665.01032
5.64,367,13667.815043
5.64,367,13671.609062
5.44,367,13676.942478
12.04,768,13698.252785
2.16,367,13701.943906
12.34,768,13722.862411
2.16,367,13726.57896
2.16,367,13729.368229
5.64,367,13733.230716
12.54,768,13755.693345
12.24,768,13779.355494
2.16,367,13782.049205
5.64,367,13785.848869
1.96,367,13789.37859
12.54,768,13812.613721
2.16,367,13815.663283
5.64,367,13819.713825
2.16,367,13823.325048
2.16,367,13826.544058
12.54,768,13851.265593
12.54,768,13875.282411
2.16,367,13878.80704
2.16,367,13881.629262
5.54,367,13885.735392
2.16,367,13889.230805
5.54,367,13892.034542
5.64,367,13894.662536
5.44,367,13898.410228
5.64,367,13904.299373
5.24,367,13907.880024
5.64,367,13910.570815
2.16,367,13914.305969
5.64,367,13918.484212
5.64,367,13922.128459
5.34,367,13925.78438
2.16,367,13929.538555
12.14,768,13953.199551
11.94,768,13977.266139
5.64,367,13980.670884
2.16,367,13983.305144
5.64,367,13985.881084
2.16,367,13989.365631
2.16,367,13993.012434
12.24,768,14015.909977
5.64,367,14020.038332
12.04,768,14043.732582
5.44,367,14049.612825
1.76,367,14052.066055
1.76,367,14055.813177
5.14,367,14059.915621
5.04,367,14062.878978
12.14,768,14085.560485
5.24,367,14089.95997
2.16,367,14093.736732
11.94,768,14116.480016
1.86,367,14122.063017
12.34,768,14142.95325
5.64,367,14146.464641
12.14,768,14169.83432
1.56,367,14172.501099
2.06,367,14175.642522
12.04,768,14198.062869
12.54,768,14222.737045
11.84,768,14245.048561
5.64,367,14249.04908
1.86,367,14252.583899
12.24,768,14275.287677
1.86,367,14279.265006
12.14,768,14303.131962
1.36,367,14307.020856
12.54,768,14331.87245
1.86,367,14335.872796
12.54,768,14359.387071
2.16,367,14363.248731
2.16,367,14366.442093
2.16,367,14370.458668
5.64,367,14374.697912
5.64,367,14378.69262
5.44,367,14382.878308
2.16,367,14388.892547
2.16,367,14392.528531
1.86,367,14396.336475
5.64,367,14400.666812
1.86,367,14404.381116
12.24,768,14427.108007
2.16,367,14431.006888
2.16,367,14434.910878
12.14,768,14458.287441
5.44,367,14463.205977
12.34,768,14486.030019
5.24,367,14489.734076
12.54,768,14512.190091
5.24,367,14516.180583
2.16,367,14519.512341
2.16,367,14523.3713
5.64,367,14527.732893
12.34,768,14551.115811
5.64,367,14554.066308
5.64,367,14557.032852
2.16,367,14560.978912
2.06,367,14564.851414
2.16,367,14568.594803
5.44,367,14572.46022
2.16,367,14576.28911
12.54,768,14597.572866
5.44,367,14601.398385
5.64,367,14607.233376
12.54,768,14630.55958
5.64,367,14634.545671
1.96,367,14638.20198
12.54,768,14660.092831
2.16,367,14663.814669
12.54,768,14686.695524
2.16,367,14690.533474
5.64,367,14696.65962
5.24,367,14700.610118
12.24,768,14723.289634
12.24,768,14746.113867
2.16,367,14748.453145
2.16,367,14751.275144
12.54,768,14773.614975
5.64,367,14779.553912
12.44,768,14802.340431
5.64,367,14806.132466
2.16,367,14808.359732
2.16,367,14810.669324
5.64,367,14813.444494
5.64,367,14816.243262
2.16,367,14819.787661
5.64,367,14823.695446
2.16,367,14826.996438
12.34,768,14851.716495
2.16,367,14855.270058
5.64,367,14859.168807
5.64,367,14863.523656
12.54,768,14886.087025
12.54,768,14908.848232
2.16,367,14912.565681
5.44,367,14916.643126
2.16,367,14922.276008
5.64,367,14926.346762
12.54,768,14949.198357
12.54,768,14971.14614
12.54,768,14994.045306
5.64,367,14997.93768
12.54,768,15020.852117
2.16,367,15026.113059
5.64,367,15030.340858
2.16,367,15033.613033
12.34,768,15054.056081
1.86,367,15056.706939
5.64,367,15060.791321
12.54,768,15083.474441
2.16,367,15087.213518
12.54,768,15110.862974
12.54,768,15133.563455
12.34,768,15155.978708
2.16,367,15159.427912
2.16,367,15163.454942
12.54,768,15187.019046
5.64,367,15191.107747
5.64,367,15195.436531
5.64,367,15201.597041
2.16,367,15205.502884
12.24,768,15227.642033
2.16,367,15231.381862
2.16,367,15235.127113
12.34,768,15256.893619
11.84,768,15279.740108
12.54,768,15303.762514
2.16,367,15307.358928
5.64,367,15311.271796
5.64,367,15315.329575
5.64,367,15319.332621
2.16,367,15322.551559
5.64,367,15326.621806
2.16,367,15330.156144
5.64,367,15334.204724
12.54,768,15356.048227
2.16,367,15361.641891
12.54,768,15383.445789
5.64,367,15387.216562
2.16,367,15391.021635
5.64,367,15395.041543
12.34,768,15417.35332
12.54,768,15440.105774
12.54,768,15461.820369
5.64,367,15465.706454
1.86,367,15469.601603
5.64,367,15473.565426
12.34,768,15496.125538
1.76,367,15498.416089
5.64,367,15502.239869
5.34,367,15505.186363
2.16,367,15508.565139
12.54,768,15533.359067
12.34,768,15554.963583
5.64,367,15558.949044
2.16,367,15562.733581
5.64,367,15566.915442
12.54,768,15588.474992
1.16,367,15590.833745
1.36,367,15593.439359
5.64,367,15597.081501
2.16,367,15602.507332
2.16,367,15606.253404
5.64,367,15609.611208
2.16,367,15613.293408
12.54,768,15635.797577
12.54,768,15657.514934
5.64,367,15661.86049
12.14,768,15686.030444
2.16,367,15689.772543
12.54,768,15711.71454
2.16,367,15715.255195
5.64,367,15717.894825
2.16,367,15720.642684
2.16,367,15723.370824
12.54,768,15745.695808
5.64,367,15749.920671
2.16,367,15755.565668
5.64,367,15759.013481
12.54,768,15781.743148
2.16,367,15785.508689
1.76,367,15789.189964
5.64,367,15792.233686
12.54,768,15814.869891
2.16,367,15818.801512
5.24,367,15822.111779
2.16,367,15827.619176
5.64,367,15831.621949
5.64,367,15835.682329
12.04,768,15858.612278
2.16,367,15862.368084
2.16,367,15866.146078
2.16,367,15869.831725
5.14,367,15873.892362
5.44,367,15878.168455
5.24,367,15882.210348
12.54,768,15907.098876
12.54,768,15929.153602
5.64,367,15933.051065
12.54,768,15954.409908
5.64,367,15958.15693
12.54,768,15981.079696
12.54,768,16012.240831
5.64,367,16016.40415
5.24,367,16019.856091
5.64,367,16023.385721
12.54,768,16046.967025
2.16,367,16050.362781
5.64,367,16053.862223
12.54,768,16079.328371
12.54,768,16104.029516
5.64,367,16108.13207
2.16,367,16111.881398
12.54,768,16132.581663
2.16,367,16136.42229
2.16,367,16140.107275
5.64,367,16144.662979
12.24,768,16167.616617
2.16,367,16171.21548
2.16,367,16176.336939
5.64,367,16180.453169
12.54,768,16203.101543
11.74,768,16224.909948
5.64,367,16228.734944
2.16,367,16231.746319
12.34,768,16254.986532
12.54,768,16278.076463
5.64,367,16282.355947
5.64,367,16286.699364
2.16,367,16290.527249
2.16,367,16294.581255
12.54,768,16315.512695
11.84,768,16335.870675
2.16,367,16338.861885
5.64,367,16342.062076
5.34,367,16347.568226
5.64,367,16351.321492
5.64,367,16354.840143
2.16,367,16358.211542
2.16,367,16361.810688
12.54,768,16382.831072
5.64,367,16385.352966
2.16,367,16387.545799
5.64,367,16391.381803
2.16,367,16394.928695
2.16,367,16400.004323
12.54,768,16418.62345
5.64,367,16421.515929
2.16,367,16423.925032
2.16,367,16426.356386
5.64,367,16430.204329
12.54,768,16454.566705
2.16,367,16458.139507
12.54,768,16481.069468
5.64,367,16484.854678
12.54,768,16507.04314
2.16,367,16510.653394
12.54,768,16529.419368
5.44,367,16533.251332
12.54,768,16553.897419
2.16,367,16556.179111
5.64,367,16560.08647
2.16,367,16563.623519
5.64,367,16566.141624
2.16,367,16569.368753
2.16,367,16573.11583
5.64,367,16577.00094
2.16,367,16579.48577
12.54,768,16600.176551
5.64,367,16604.181544
5.64,367,16608.020423
12.04,768,16630.313413
12.54,768,16650.37282
2.16,367,16653.805431
2.16,367,16657.411248
5.34,367,16661.027299
2.16,367,16664.628294
12.54,768,16686.239686
1.86,367,16689.897462
1.86,367,16695.313994
2.16,367,16699.339647
2.16,367,16702.785839
12.54,768,16722.798581
11.74,768,16743.52025
12.54,768,16763.770535
2.16,367,16767.422507
5.64,367,16772.630048
2.16,367,16776.291369
5.64,367,16780.090415
12.54,768,16800.453589
