#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-181.4,367,5810.82205
-4985.9,767,5829.185421
-182.7,367,5832.128377
-4994.6,772,5853.117488
-4971.8,766,5870.342146
-176.3,367,5874.009066
-4965.7,767,5893.324488
-4983.5,773,5913.076884
-5005.4,772,5930.093179
-183.8,367,5932.586376
-181.3,367,5937.631953
-181.4,367,5940.607255
-181.3,367,5943.25888
-176.0,367,5946.044643
-621.5,368,5948.849859
-5013.8,772,5969.8053
-183.7,367,5973.563247
-174.9,367,5977.090812
-4970.2,772,5995.797829
-179.3,367,6000.001534
-175.5,367,6003.299165
-5010.3,767,6020.790934
-5020.2,772,6040.333069
-175.7,367,6042.859432
-176.5,367,6046.002748
-604.6,368,6049.745444
-4986.1,767,6067.034918
-592.5,368,6072.106754
-4992.0,766,6089.822507
-599.3,367,6092.378482
-5008.9,772,6111.726957
-4982.6,767,6128.343401
-589.8,367,6131.96411
-4949.2,766,6151.014699
-4995.9,766,6167.882736
-168.0,367,6170.352864
-597.9,367,6172.88138
-589.4,367,6176.850582
-601.2,367,6182.103588
-4988.1,767,6199.841527
-177.9,367,6202.641165
-5021.2,766,6222.491115
-181.5,367,6224.979431
-4944.3,766,6242.813318
-4973.6,767,6261.707576
-4976.9,766,6281.269384
-605.6,367,6283.975776
-622.3,367,6286.869955
-613.2,371,6290.814265
-178.4,367,6295.787276
-614.8,367,6299.026418
-188.7,367,6301.382282
-189.0,368,6304.194248
-604.8,369,6307.288732
-189.0,367,6310.00454
-5007.7,767,6330.659671
-610.9,368,6333.18398
-185.6,367,6336.188533
-602.1,367,6339.387466
-625.8,367,6344.151302
-606.7,367,6346.664919
-605.2,367,6350.624969
-599.0,367,6354.388552
-184.7,367,6357.375668
-4995.7,767,6378.071686
-611.0,367,6380.580263
-5010.4,767,6399.145216
-188.6,367,6402.739502
-184.5,367,6408.005175
-186.5,367,6411.273708
-4986.7,766,6430.34812
-4986.1,767,6448.228606
-185.4,367,6452.181584
-615.0,367,6456.279834
-4955.7,767,6474.048321
-184.1,367,6477.070996
-611.0,367,6481.993317
-602.6,367,6484.648864
-4991.2,766,6502.52988
-4969.6,773,6522.449387
-5003.6,772,6542.012646
-4988.3,766,6560.433671
-192.8,367,6563.295429
-612.5,367,6567.808448
-614.6,367,6570.341551
-189.5,367,6572.727737
-623.6,367,6576.363344
-4995.6,772,6596.170884
-4983.5,766,6614.795139
-606.8,372,6618.098632
-190.6,367,6620.417511
-193.2,367,6622.710388
-195.6,369,6627.419084
-188.8,367,6630.24001
-621.8,367,6633.413752
-4983.3,767,6651.936968
-617.7,367,6656.584532
-193.0,369,6660.296817
-187.1,368,6662.812383
-603.3,370,6665.692854
-194.9,367,6668.098977
-5004.9,766,6687.122611
-615.4,367,6689.63992
-5011.4,767,6706.546885
-4982.6,765,6726.556713
-4975.1,772,6746.702267
-188.4,367,6749.61943
-618.4,367,6752.541125
-609.5,372,6756.365639
-609.8,367,6761.427372
-613.9,367,6765.037836
-186.4,367,6767.916858
-191.6,367,6770.839994
-4999.0,773,6791.943104
-606.3,372,6795.679987
-4993.9,772,6812.899718
-617.1,367,6816.27556
-185.0,367,6818.643365
-5001.2,772,6839.865985
